Actividad económica principal;Indicador;Comunidad autónoma;periodo;Total
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2009;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Canarias;2008;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2024;13,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2023;13,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2022;13,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2021;12,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2020;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2019;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2018;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2017;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2016;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2015;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2014;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2013;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2012;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2011;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2010;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2009;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Cantabria;2008;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2024;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2023;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2022;11,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2021;13,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2020;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2019;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2018;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2017;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2016;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2015;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2014;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2013;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2012;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2011;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2010;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2009;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla y León;2008;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2024;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2023;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2022;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2021;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2020;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2019;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2018;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2017;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2016;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2015;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2014;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2013;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2012;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2011;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2010;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2009;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Castilla-La Mancha;2008;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2024;50,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2023;48,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2022;54,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2021;55,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2020;55,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2019;54,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2018;48,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2017;43,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2016;41,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2015;45,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2014;45,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2013;48,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2012;37,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2011;39,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2010;51,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2009;49,0
323 Fabricación de artículos de deporte;Valores absolutos;Cataluña;2008;48,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2024;29,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2023;27,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2022;32,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2021;29,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2020;30,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2019;31,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2018;31,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2017;26,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2016;24,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2015;21,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2014;20,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2013;21,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2012;24,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2011;24,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2010;21,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2009;22,0
323 Fabricación de artículos de deporte;Valores absolutos;Comunitat Valenciana;2008;21,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2024;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2023;3,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2022;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2021;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2020;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2019;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2018;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2017;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2016;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2015;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2014;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2013;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2012;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2011;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2010;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2009;0,0
323 Fabricación de artículos de deporte;Valores absolutos;Extremadura;2008;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2024;18,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2023;15,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2022;18,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2021;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2020;12,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2019;11,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2018;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2017;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2016;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2015;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2014;3,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2013;3,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2012;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2011;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2010;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2009;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Galicia;2008;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2024;29,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2023;29,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2022;38,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2021;36,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2020;33,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2019;30,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2018;32,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2017;26,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2016;25,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2015;22,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2014;24,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2013;18,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2012;17,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2011;20,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2010;23,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2009;21,0
323 Fabricación de artículos de deporte;Valores absolutos;Madrid, Comunidad de;2008;24,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2024;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2023;9,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2022;11,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2021;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2020;14,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2019;16,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2018;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2017;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2016;11,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2015;11,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2014;4,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2013;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2012;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2011;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2010;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2009;10,0
323 Fabricación de artículos de deporte;Valores absolutos;Murcia, Región de;2008;11,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2024;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2023;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2022;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2021;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2020;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2019;8,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2018;11,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2017;6,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2016;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2015;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2014;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2013;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2012;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2011;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2010;7,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2009;5,0
323 Fabricación de artículos de deporte;Valores absolutos;Navarra, Comunidad Foral de;2008;4,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2024;45,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2023;46,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2022;41,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2021;37,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2020;35,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2019;34,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2018;32,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2017;27,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2016;22,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2015;21,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2014;20,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2013;21,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2012;26,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2011;21,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2010;22,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2009;25,0
323 Fabricación de artículos de deporte;Valores absolutos;País Vasco;2008;27,0
323 Fabricación de artículos de deporte;Valores absolutos;Rioja, La;2024;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Rioja, La;2023;2,0
323 Fabricación de artículos de deporte;Valores absolutos;Rioja, La;2022;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Rioja, La;2021;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Rioja, La;2020;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Rioja, La;2019;1,0
323 Fabricación de artículos de deporte;Valores absolutos;Rioja, La;2018;1,0
